¿Que edad tiene?,¿Número de terrenos que utiliza la familia?,¿Cuántos integrantes tiene la familia?,¿Cuántos espacios de vida frecuenta?,¿Cuantas actividades realiza en el espacio de vida?
75,1,4,2,1
55,2,4,2,2
57,1,4,3,2
50,2,2,2,1
64,2,3,3,2
52,2,0,2,1
25,2,2,2,2
46,2,3,2,2
49,3,5,2,1
57,1,1,2,2
68,3,1,2,1
49,2,6,2,2
39,1,4,3,2
51,1,1,2,2
27,1,3,2,2
71,1,1,2,1
55,3,7,2,1
62,3,3,2,1
43,1,4,2,2
63,3,3,0,1
52,2,1,1,1
48,2,2,2,1
55,2,1,1,1
52,1,3,2,1
52,2,1,3,1
29,1,3,2,1
58,3,4,2,1
42,1,1,2,1
49,2,4,2,1
55,1,1,3,2
76,2,2,2,1
33,2,3,2,1
68,4,3,3,1
37,1,5,2,1
46,1,3,1,1
59,2,1,2,1
38,2,2,2,1
59,3,1,3,1
53,1,5,2,1
74,1,3,2,2
56,1,1,3,1
58,2,3,1,1
58,1,4,2,1
46,1,2,2,1
56,1,3,1,1
36,1,4,2,1
43,1,4,1,2
51,1,3,1,2
47,3,3,2,1
35,1,3,2,2
55,1,4,2,1
53,1,6,2,2
59,1,5,1,1
73,2,0,3,2
53,1,3,2,1
49,2,3,3,2
65,2,1,3,1
33,1,4,2,2
59,3,4,3,1
46,2,1,3,1
65,2,1,3,1
31,1,2,3,1
36,1,3,3,1
42,1,4,1,2
36,2,3,1,1
33,1,3,1,1
52,2,1,3,1
36,1,3,4,2
34,1,4,1,1
36,1,3,1,1
76,1,1,3,1
47,3,3,2,3
55,2,7,0,3
74,3,5,1,1
30,2,4,3,2
52,3,4,2,1
57,3,3,2,2
58,1,1,2,1
62,3,4,2,2
56,3,3,2,2
52,2,1,2,1
64,2,2,3,3
52,1,3,2,1
63,2,1,2,1
59,2,1,2,1
37,1,2,2,1
46,1,7,3,1
64,3,0,2,2
42,2,4,2,1
53,4,1,2,3
51,2,3,2,1
57,1,3,2,1
58,2,1,2,1
51,2,1,2,1
61,1,3,2,1
57,2,5,2,1
47,2,4,2,2
51,3,4,2,2
42,1,4,2,2
29,4,6,2,1
47,2,2,2,1
54,2,3,2,2
65,1,4,2,2
49,1,5,2,1
65,4,4,2,1
31,2,4,2,2
42,1,2,2,2
50,3,5,2,1
44,2,1,1,2
55,2,3,2,2
73,2,4,2,1
51,3,3,2,1
58,1,1,2,1
83,1,2,2,2
33,1,2,2,1
65,2,4,2,2
45,1,3,1,2
