Nombre del espacio de vida,Especifica el espacio de vida,¿En qué ciclos agricolas cultivo esta parcela?,¿Cuantas actividades realiza en el espacio de vida?,¿Cuantas actividades realiza en el espacio de vida?,_index,parentesco,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status,Municipio,¿Cuantos productos obtiene de la actividad?
Tianguis,,,1,,1,Esposa (o),118,40262765,ae975586-a52c-4ece-a91a-32342e995461,2019-11-05T18:39:55,,Cardonal,3
Milpa o Huerto,,,2,,2,Hija (o),118,40262765,ae975586-a52c-4ece-a91a-32342e995461,2019-11-05T18:39:55,,Cardonal,1
Milpa o Huerto,,,2,,3,Hija (o),119,40262889,42af81d2-8467-419d-b53a-672755575bca,2019-11-05T18:42:24,,Cardonal,5
Tianguis,,,1,,4,Infante,119,40262889,42af81d2-8467-419d-b53a-672755575bca,2019-11-05T18:42:24,,Cardonal,3
Milpa o Huerto,,,2,,5,Esposa (o),120,40262894,0f4fa8f5-b794-438a-a3a4-b423e0135558,2019-11-05T18:42:28,,Cardonal,7
Traspatio,,,1,,6,Hija (o),120,40262894,0f4fa8f5-b794-438a-a3a4-b423e0135558,2019-11-05T18:42:28,,Cardonal,3
Tianguis,,,2,,7,Nieta (o),120,40262894,0f4fa8f5-b794-438a-a3a4-b423e0135558,2019-11-05T18:42:28,,Cardonal,4
Milpa o Huerto,,,2,,8,Nieta (o),121,40262925,e3a810e4-5db5-4701-8aa1-ca867765a854,2019-11-05T18:43:21,,Cardonal,5
Tianguis,,,1,,9,Esposa (o),121,40262925,e3a810e4-5db5-4701-8aa1-ca867765a854,2019-11-05T18:43:21,,Cardonal,3
Monte,,,2,,17,Nieta (o),8,31006722,6bcc17a4-47f7-4754-b6ca-b300ee391376,2019-06-25T20:42:36,,Ixmiquilpan,1
Milpa o Huerto,,,1,,18,Nieta (o),8,31006722,6bcc17a4-47f7-4754-b6ca-b300ee391376,2019-06-25T20:42:36,,Ixmiquilpan,3
Monte,,,2,,19,Nieta (o),9,31006734,8c5fbc3e-deec-4ab3-830c-6d6a4dda7013,2019-06-25T20:42:44,,Ixmiquilpan,2
Milpa o Huerto,,,2,,20,Otro (indicar),10,31791896,11963687-1fb1-4a65-b4f9-866b9b6c2e16,2019-07-04T20:22:27,,Ixmiquilpan,7
Traspatio,,,2,,21,Hija (o),10,31791896,11963687-1fb1-4a65-b4f9-866b9b6c2e16,2019-07-04T20:22:27,,Ixmiquilpan,3
Milpa o Huerto,,,2,,22,Hija (o),11,32061325,efa4d149-15d5-4f5c-86ab-9050e303bf92,2019-07-08T18:02:06,,Ixmiquilpan,0
Traspatio,,,1,,23,Hija (o),11,32061325,efa4d149-15d5-4f5c-86ab-9050e303bf92,2019-07-08T18:02:06,,Ixmiquilpan,0
Milpa o Huerto,,,1,,24,Hija (o),12,32078212,1b50d0bf-9d5b-48ca-ad77-517c976f40a9,2019-07-08T21:17:46,,Ixmiquilpan,0
Monte,,,1,,25,Esposa (o),12,32078212,1b50d0bf-9d5b-48ca-ad77-517c976f40a9,2019-07-08T21:17:46,,Ixmiquilpan,0
Milpa o Huerto,,,2,,26,Hija (o),13,32078611,d89dbbc5-0e7f-4b79-a1da-a9ae0dd91653,2019-07-08T21:22:39,,Ixmiquilpan,0
Traspatio,,,1,,27,Hija (o),13,32078611,d89dbbc5-0e7f-4b79-a1da-a9ae0dd91653,2019-07-08T21:22:39,,Ixmiquilpan,0
Monte,,,1,,28,Hija (o),13,32078611,d89dbbc5-0e7f-4b79-a1da-a9ae0dd91653,2019-07-08T21:22:39,,Ixmiquilpan,0
Traspatio,,,1,,29,Hija (o),14,32697150,140e2a1f-8871-4f9a-b5b3-0d5fcaeaf111,2019-07-16T16:15:23,,Ixmiquilpan,0
Milpa o Huerto,,,1,,30,Hija (o),14,32697150,140e2a1f-8871-4f9a-b5b3-0d5fcaeaf111,2019-07-16T16:15:23,,Ixmiquilpan,0
Milpa o Huerto,,,1,,31,Esposa (o),15,32697254,3bc44a85-a701-45e6-9df7-aa143f83e02a,2019-07-16T16:17:19,,Ixmiquilpan,2
Traspatio,,,1,,32,Esposa (o),15,32697254,3bc44a85-a701-45e6-9df7-aa143f83e02a,2019-07-16T16:17:19,,Ixmiquilpan,1
Traspatio,,,1,,33,Hija (o),16,32703421,6ab2a82c-3780-4bd8-8fca-99ee81ca6b10,2019-07-16T17:41:58,,Ixmiquilpan,1
Milpa o Huerto,,,1,,34,Hija (o),16,32703421,6ab2a82c-3780-4bd8-8fca-99ee81ca6b10,2019-07-16T17:41:58,,Ixmiquilpan,2
Milpa o Huerto,,,1,,35,Hija (o),17,32709285,3ba20749-f302-4eb9-9683-2af3bc5c65bc,2019-07-16T18:57:29,,Ixmiquilpan,2
Monte,,,1,,36,Hija (o),17,32709285,3ba20749-f302-4eb9-9683-2af3bc5c65bc,2019-07-16T18:57:29,,Ixmiquilpan,1
Milpa o Huerto,,,2,,37,Hija (o),18,32709374,3b1884ec-922e-43af-bf70-3fced0875271,2019-07-16T19:00:21,,Ixmiquilpan,1
Traspatio,,,1,,38,Esposa (o),18,32709374,3b1884ec-922e-43af-bf70-3fced0875271,2019-07-16T19:00:21,,Ixmiquilpan,1
Milpa o Huerto,,,1,,39,Hija (o),19,32713950,f1aba3fa-5e0a-4f76-a05b-a4ea430b10a9,2019-07-16T20:00:33,,Ixmiquilpan,1
Monte,,,1,,40,Hija (o),19,32713950,f1aba3fa-5e0a-4f76-a05b-a4ea430b10a9,2019-07-16T20:00:33,,Ixmiquilpan,1
Tianguis,,,1,,41,Hija (o),21,32822527,592c986f-7187-46a5-b2eb-b99e3aafb75b,2019-07-18T02:20:37,,Ixmiquilpan,1
Milpa o Huerto,,,1,,42,Hija (o),22,32822430,7b3565fb-f62c-4e49-997c-675c91ba65e4,2019-07-18T02:12:13,,Ixmiquilpan,2
Tianguis,,,1,,43,Tia (o),22,32822430,7b3565fb-f62c-4e49-997c-675c91ba65e4,2019-07-18T02:12:13,,Ixmiquilpan,4
Traspatio,,,1,,44,Prima (o),23,32822415,d6420e54-4ea8-4dfd-a819-4ea531ecc605,2019-07-18T02:10:47,,Ixmiquilpan,3
Milpa o Huerto,,,1,,45,Otro (indicar),24,32734003,acfbbf36-a29e-406c-9fa4-e25a27297285,2019-07-17T02:20:41,,Ixmiquilpan,1
Milpa o Huerto,,,1,,46,Esposa (o),24,32734003,acfbbf36-a29e-406c-9fa4-e25a27297285,2019-07-17T02:20:41,,Ixmiquilpan,1
