id,id_cultivo,nombre_modif,CantidadPlaga,combate_modif,created_at,updated_at
140,134,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/27/2017 21:10
142,135,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/27/2017 22:28
143,136,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/27/2017 23:40
145,137,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/28/2017 1:50
147,138,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/28/2017 4:18
148,139,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/28/2017 21:37
149,140,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/28/2017 23:29
263,221,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,43077.5875
265,223,CHAPULIN,1,NO LO COMBATE,43286.53194,43077.86319
209,188,CONEJO,1,NO LO COMBATE,43286.53194,7/29/2017 23:57
217,197,GALLINA CIEGA,1,NO LO COMBATE,43286.53194,42986.87153
78,76,GALLINA CIEGA,1,NO LO COMBATE,43286.53125,7/21/2017 14:52
79,77,GALLINA CIEGA,1,NO LO COMBATE,43286.53125,7/21/2017 14:53
141,134,GALLINA CIEGA,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/27/2017 21:12
191,173,GALLINA CIEGA,1,ARANDO LA TIERRA,43286.53194,7/25/2017 3:21
197,178,GALLINA CIEGA,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/25/2017 16:51
207,187,GALLINA CIEGA,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,7/29/2017 23:34
211,191,GALLINA CIEGA,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,42774.10625
214,193,GALLINA CIEGA,1,NO LO COMBATE,43286.53194,42833.17222
259,219,GORGOJO,1,USA PLAGUICIDAS O INSECTICIDAS,43286.53194,43047.88542
80,78,GUSANO,1,NO LO COMBATE,43286.53125,7/21/2017 17:24
81,79,GUSANO,1,NO LO COMBATE,43286.53125,7/21/2017 17:27
85,83,GUSANO,1,NO LO COMBATE,43286.53125,7/22/2017 8:58
