id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
1387,132,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 O 3 SEMANAS ,1 ó 2 VECES AL MES,SOPAS/ 2 BOLSAS,03/05/2018 15:27,09/08/2017 21:36,0.049315
4,1,COMPRA,ALIMENTOS PREPARADOS ,Non,ZACAHUIL ,SAKAUIL,TIANGUIS,EN EL MERCADO O TIANGUIS,1 PLATO CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 02:54,0.1424
6,1,COMPRA,CARNE,Non,CARNE DE PUERCO,PITSONAKATL,TIANGUIS,EN EL MERCADO O TIANGUIS,MEDIO KILO CADA 8 DÍAS ,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 02:59,0.1424
7,1,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYONAKATL,TIANGUIS,EN EL MERCADO O TIANGUIS,MEDIO KILO CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 03:00,0.1424
8,1,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SARDINAS,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 03:01,0.1424
9,1,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,ATÚN ,,EN LA TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 LATA ALA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 03:02,0.1424
10,1,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,CHILES EN VINAGRE ,,EN LA TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 LATA A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 03:03,0.1424
11,1,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,EN LA TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 03:03,0.1424
15,2,COMPRA,PLANTAS Y FRUTOS,Non,LECHUGA ,LECHUGA,DE CULTIVOS DE OTROS ESTADOS,OTROS,1 CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:22,0.1424
16,2,COMPRA,SEMILLAS ,Non,FRIJOL ,ETL PITSAJETL,MILPA,EN LA MILPA,CADA 8 DÍAS 1 KILO,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:24,0.1424
22,2,COMPRA,ALIMENTOS PREPARADOS ,Non,TAMALES,TAMALI TLEN PITSO UA PIYO,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:32,0.1424
24,2,COMPRA,ALIMENTOS PREPARADOS ,Non,BOCOLES,ENEL,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:33,0.1424
25,2,COMPRA,BEBIDAS ,Non,AGUA DE CAÑA,OUAATL,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 8 DIAS 1 BOTELLA DE 2 LITROS,1 VEZ A LA SEMANA  ,CUANDO HAY MOLIENDA,03/05/2018 15:27,26/07/2017 20:35,0.1424
29,2,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SARDINAS,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:42,0.1424
30,2,COMPRA,SEMILLAS ,Non,ARROZ,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD, 1 KG A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:43,0.1424
31,2,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,MAYONESA,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 ALA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,26/07/2017 20:44,0.1424
44,3,COMPRA,PESCADOS,Non,MOJARRAS,SIPETLA,TIANGUIS,EN EL MERCADO O TIANGUIS,CADA 8 DIAS,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 05:27,0.1424
47,3,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,FRIJOL ,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 05:30,0.1424
48,3,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SARDINAS,,EN LAS TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD, 1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 05:31,0.1424
50,3,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,ATÚN ,,EN TIENDAS DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,1 A LA SEMANA,1 VEZ A LA SEMANA  ,,03/05/2018 15:27,27/07/2017 20:15,0.1424
