id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
1738,145,COMPRA,ALIMENTOS PREPARADOS ,Non,MIEL DE MAGUEY,,mercado,EN EL MERCADO O TIANGUIS,UNA O DOS VECES POR AÑO,1 ó 2 VECES AL AÑO,LA MIEL     ES MUY UTILIZADO AQUI PARA LA GRIPA.  ,03/05/2018 15:27,11/08/2017 01:18,0.004109
1856,150,VENTA,SEMILLAS ,Non,FRIJOL ,JU, milpa,EN LA MILPA,UNA VEZ O DOS VECES POR AÑO,1 ó 2 VECES AL AÑO,"CUANDO SALE BUENA  PRODUCCIÓN EN LA MILPA  DEL FRIJOL Y ALACANZA PARA EL COMSUMO   ,LO QUE SOBRA SE LLEVA  AL MERCADO A VENDER O SI NO CON LOS MISMOS VECINOS .",03/05/2018 15:27,13/08/2017 21:35,0.004109
2090,180,COMPRA,SEMILLAS ,Non,CACAHUATE ,JU̱MHAI,,,  1 A 2 VECES AL AÑO,1 ó 2 VECES AL AÑO,,03/05/2018 14:42,06/08/2017 00:38,0.004109
2102,180,COMPRA,PESCADOS,Non,FILETE,,,,  1 A 2 VECES AL AÑO,1 ó 2 VECES AL AÑO,,03/05/2018 14:42,06/08/2017 00:44,0.004109
2154,182,COMPRA,SEMILLAS ,FRUTOS,PIÑON,TỤDI,,, 1 A DOS VECES AL AÑO,1 ó 2 VECES AL AÑO,,03/05/2018 14:42,13/08/2017 23:57,0.004109
2157,182,COMPRA,SEMILLAS ,Non,CACAHUATE ,JU̱MHAI,,,  1 A 2 VECES AL AÑO ,1 ó 2 VECES AL AÑO,,03/05/2018 14:42,13/08/2017 23:58,0.004109
1698,140,COMPRA,SEMILLAS ,Non,FRIJOL ,JU,mercado,EN EL MERCADO O TIANGUIS,UN O DOS VECES POR MES,1 ó 2 VECES AL MES,SOLO CUANDO NO HAY EN CASA O CUANDO SE TERMINA LO QUE SE COSECHO.,03/05/2018 15:27,27/07/2017 22:07,0.049315
1701,140,COMPRA,RAÍCES,Non,RABANO ,YA RABANO,tianguis,EN EL MERCADO O TIANGUIS,UNA O DOS VECES POR MES,1 ó 2 VECES AL MES,,03/05/2018 15:27,27/07/2017 22:19,0.049315
1707,141,COMPRA,PLANTAS Y FRUTOS,Non,EPAZOTE ,EPAZOTE,MERCADO,EN EL MERCADO O TIANGUIS,UNA O DOS VECES AL MES,1 ó 2 VECES AL MES,,03/05/2018 15:27,28/07/2017 03:34,0.049315
1718,146,COMPRA,PLANTAS Y FRUTOS,Non,FLORES,(NDÖNI),trianguis ixmiquilpan,IXMIQUILPAN,UNAS O DOS VECES POR MES,1 ó 2 VECES AL MES,,03/05/2018 15:27,08/08/2017 03:22,0.049315
1721,146,COMPRA,SEMILLAS ,Non,FRIJOL ,(JU),mercado,EN EL MERCADO O TIANGUIS,UNA O DOS VECES POR MES,1 ó 2 VECES AL MES,SE COMPRA PARA CONSUMO EN CASA,03/05/2018 15:27,08/08/2017 03:26,0.049315
