id,id_cultivo,nombre_modif,CantidadPlaga,combate_modif,created_at,updated_at
153,142,ALFILERILLO,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/29/2017 4:05
113,126,ALFILERILLO,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/23/2017 3:03
122,128,ALFILERILLO,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/25/2017 21:34
132,130,ALFILERILLO,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 17:29
58,62,ARDILLA,1,NO LO COMBATE,5/7/2018 12:45,8/4/2017 4:27
335,384,CARACOLES,1,OTROS,0000-00-00 00:00:00,0000-00-00 00:00:00
347,390,CARACOLES,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,9/14/2017 16:54
128,129,CATARINA,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 1:39
294,313,CATARINA,1,NO LO COMBATE,5/7/2018 12:46,8/19/2017 22:03
352,393,CHAPULIN,1,OTROS,5/7/2018 12:23,9/14/2017 18:29
89,94,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:45,7/23/2017 17:31
90,95,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:45,7/23/2017 17:32
106,125,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/19/2017 0:56
110,126,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/23/2017 2:32
117,127,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/24/2017 15:47
123,128,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:45,7/25/2017 21:35
125,129,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 1:31
130,130,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 17:25
133,131,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 19:25
135,132,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/26/2017 22:30
139,133,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/27/2017 1:48
140,134,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/27/2017 21:10
142,135,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/27/2017 22:28
143,136,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/27/2017 23:40
145,137,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/28/2017 1:50
147,138,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/28/2017 4:18
148,139,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/28/2017 21:37
149,140,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/28/2017 23:29
151,141,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/29/2017 2:33
154,142,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/29/2017 4:06
155,143,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,7/30/2017 2:34
253,214,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/11/2017 2:11
263,221,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/12/2017 14:06
264,222,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/12/2017 16:54
265,223,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/12/2017 20:43
277,278,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/5/2017 22:59
278,279,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/6/2017 2:38
279,280,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/13/2017 22:40
281,299,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/19/2017 0:37
283,299,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/19/2017 2:06
288,305,CHAPULIN,1,OTROS,0000-00-00 00:00:00,0000-00-00 00:00:00
293,313,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/19/2017 22:03
295,281,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/20/2017 0:20
296,315,CHAPULIN,1,OTROS,0000-00-00 00:00:00,0000-00-00 00:00:00
298,318,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/20/2017 17:49
299,319,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/20/2017 18:25
300,320,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,8/20/2017 18:39
301,321,CHAPULIN,1,OTROS,0000-00-00 00:00:00,0000-00-00 00:00:00
302,323,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/20/2017 19:23
303,325,CHAPULIN,1,NO LO COMBATE,5/7/2018 12:46,8/20/2017 22:17
317,353,CHAPULIN,1,CONTROL BIOLOGICO,5/7/2018 12:46,8/28/2017 3:16
338,384,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,9/13/2017 21:01
339,386,CHAPULIN,1,OTROS,0000-00-00 00:00:00,0000-00-00 00:00:00
340,387,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,9/14/2017 2:02
341,387,CHAPULIN,1,USA PLAGUICIDAS O INSECTICIDAS,5/7/2018 12:46,9/14/2017 2:02
