id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
235,70,ESPOSO(A),HOMBRE,0,AMA DE CASA,SECUNDARIA,SI,NO,BOVINOS Y PORCINOS,05/07/2018 12:09,7/19/2017 3:58,1
236,70,HIJO(A),MUJER,36,COSTURERO(A),SECUNDARIA,NO,SI,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,7/19/2017 3:50,1
237,70,HIJO(A),MUJER,34,AMA DE CASA,SECUNDARIA,SI,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,7/19/2017 3:53,1
238,70,HIJO(A),HOMBRE,26,ALBAÑIL,BACHILLERATO,SI,NO,BOVINOS,05/07/2018 12:09,7/19/2017 3:56,1
239,71,ESPOSO(A),MUJER,49,AMA DE CASA,SIN ESCOLARIDAD,SI,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,7/24/2017 5:24,1
240,71,HIJO(A),HOMBRE,31,ALBAÑIL,SECUNDARIA,SI,NO,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,7/24/2017 5:26,1
241,71,HIJO(A),MUJER,30,AMA DE CASA,SECUNDARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,7/24/2017 5:28,1
242,71,HIJO(A),HOMBRE,23,ALBAÑIL,SECUNDARIA,NO,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,7/24/2017 5:30,1
243,72,ESPOSO(A),MUJER,75,AMA DE CASA,SIN ESCOLARIDAD,SI,NO,PORCINOS Y OVINOS-CAPRINOS,05/07/2018 12:09,7/25/2017 20:53,1
244,72,HIJO(A),HOMBRE,53,CAMPESINO,PRIMARIA,SI,NO,AVES DE CORRAL Y OVINOS-CAPRINOS,05/07/2018 12:09,7/25/2017 20:55,1
245,72,HIJO(A),HOMBRE,51,CARPINTERO(A),BACHILLERATO,SI,NO,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,7/25/2017 20:58,1
246,72,HIJO(A),HOMBRE,50,ALBAÑIL,SECUNDARIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,7/25/2017 20:59,1
247,73,ESPOSO(A),MUJER,53,AMA DE CASA,PRIMARIA,SI,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,7/26/2017 0:26,1
248,73,HIJO(A),HOMBRE,30,ESTUDIANTE,SECUNDARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,7/26/2017 0:28,1
249,73,HIJO(A),HOMBRE,28,ESTUDIANTE,SECUNDARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,7/26/2017 0:32,1
250,73,HIJO(A),MUJER,26,OTROS,BACHILLERATO,NO,NO,OVINOS-CAPRINOS,05/07/2018 12:09,7/26/2017 0:35,1
251,74,ESPOSO(A),MUJER,63,AMA DE CASA,PRIMARIA,SI,NO,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,7/26/2017 17:09,1
252,74,HIJO(A),HOMBRE,40,JORNALERO,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,7/26/2017 17:10,1
253,74,HIJO(A),HOMBRE,32,JORNALERO,SECUNDARIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,7/26/2017 17:12,1
